Season,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2000-2001,Shawnelle Scott\scottsh01,C,28,SAS,27,1,144,17,41,0.415,0,0,,17,41,0.415,0.415,9,22,0.409,23,27,50,4,5,6,11,23,43
2000-2001,Brian Shaw\shawbr01,SG,34,LAL,80,28,1833,164,411,0.399,42,135,0.311,122,276,0.442,0.45,51,64,0.797,48,256,304,258,49,27,97,159,421
2000-2001,Brian Skinner\skinnbr01,PF,24,LAC,39,23,584,64,161,0.398,0,0,,64,161,0.398,0.398,32,59,0.542,55,113,168,18,14,11,32,61,160
2000-2001,Reggie Slater\slatere01,PF,30,MIN,55,16,686,90,175,0.514,0,0,,90,175,0.514,0.514,74,110,0.673,78,108,186,26,18,9,43,126,254
2000-2001,Jabari Smith\smithja01,C,23,SAC,9,0,66,11,22,0.5,0,0,,11,22,0.5,0.5,4,6,0.667,1,7,8,6,4,0,3,7,26
2000-2001,Joe Smith\smithjo02,PF,25,DET,69,59,1941,308,765,0.403,0,5,0,308,760,0.405,0.403,231,287,0.805,160,331,491,79,47,50,88,258,847
2000-2001,Michael Smith\smithmi02,PF,28,WAS,79,29,1610,106,218,0.486,0,1,0,106,217,0.488,0.486,89,154,0.578,172,390,562,101,57,37,62,156,301
2000-2001,Mike Smith\smithmi03,SF,24,WAS,17,0,180,19,59,0.322,3,18,0.167,16,41,0.39,0.347,10,16,0.625,10,12,22,10,5,3,7,8,51
2000-2001,Steve Smith\smithst01,SG,31,POR,81,36,2542,359,788,0.456,78,230,0.339,281,558,0.504,0.505,309,347,0.89,87,185,272,213,48,24,137,203,1105
2000-2001,Tony Smith\smithto02,SG,32,ATL,6,0,78,8,23,0.348,0,2,0,8,21,0.381,0.348,1,2,0.5,2,1,3,10,7,0,9,12,17
2000-2001,Eric Snow\snower01,PG,27,PHI,50,50,1740,182,435,0.418,5,19,0.263,177,416,0.425,0.424,122,154,0.792,27,139,166,369,77,7,124,123,491
2000-2001,Felton Spencer\spencfe01,C,33,NYK,18,0,113,12,20,0.6,0,0,,12,20,0.6,0.6,15,25,0.6,16,19,35,2,2,2,11,24,39
2000-2001,Latrell Sprewell\sprewla01,SF,30,NYK,77,77,3017,524,1219,0.43,41,135,0.304,483,1084,0.446,0.447,275,351,0.783,49,298,347,269,106,28,218,159,1364
2000-2001,Jerry Stackhouse\stackje01,SG,26,DET,80,80,3215,774,1927,0.402,166,473,0.351,608,1454,0.418,0.445,666,810,0.822,99,216,315,410,97,54,326,160,2380
2000-2001,John Starks\starkjo01,SG,35,UTA,75,64,2122,273,686,0.398,64,182,0.352,209,504,0.415,0.445,89,111,0.802,29,125,154,178,73,10,94,217,699
2000-2001,Vladimir Stepania\stepavl01,C,24,NJN,29,0,280,28,88,0.318,1,4,0.25,27,84,0.321,0.324,25,34,0.735,35,74,109,16,10,11,19,47,82
2000-2001,DeShawn Stevenson\stevede01,SG,19,UTA,40,2,293,31,91,0.341,1,12,0.083,30,79,0.38,0.346,26,38,0.684,9,19,28,18,10,2,28,29,89
2000-2001,Michael Stewart\stewami01,C,25,TOR,26,0,123,11,34,0.324,0,0,,11,34,0.324,0.324,11,18,0.611,16,13,29,2,4,3,5,19,33
2000-2001,Bryant Stith\stithbr01,SG,30,BOS,78,74,2504,245,611,0.401,91,242,0.376,154,369,0.417,0.475,175,207,0.845,65,219,284,168,93,14,90,182,756
2000-2001,John Stockton*\stockjo01,PG,38,UTA,82,82,2397,328,651,0.504,61,132,0.462,267,519,0.514,0.551,227,278,0.817,54,173,227,713,132,21,203,194,944
2000-2001,Peja Stojakovic\stojape01,SF,23,SAC,75,75,2905,559,1189,0.47,144,360,0.4,415,829,0.501,0.531,267,312,0.856,93,341,434,164,91,13,146,144,1529
2000-2001,Damon Stoudamire\stoudda01,PG,27,POR,82,82,2655,406,935,0.434,82,219,0.374,324,716,0.453,0.478,172,207,0.831,69,234,303,468,106,8,191,202,1066
2000-2001,Erick Strickland\stricer01,PG,27,TOT,50,0,830,81,267,0.303,30,95,0.316,51,172,0.297,0.36,68,79,0.861,18,110,128,95,44,2,48,88,260
2000-2001,Erick Strickland\stricer01,PG,27,NYK,28,0,421,40,131,0.305,16,47,0.34,24,84,0.286,0.366,24,28,0.857,9,43,52,29,22,1,21,46,120
2000-2001,Erick Strickland\stricer01,PG,27,VAN,22,0,409,41,136,0.301,14,48,0.292,27,88,0.307,0.353,44,51,0.863,9,67,76,66,22,1,27,42,140
2000-2001,Mark Strickland\stricma01,SF,30,TOT,55,2,719,103,239,0.431,1,2,0.5,102,237,0.43,0.433,45,70,0.643,54,107,161,24,16,22,34,72,252
2000-2001,Mark Strickland\stricma01,SF,30,DEN,46,2,517,82,185,0.443,0,1,0,82,184,0.446,0.443,37,59,0.627,43,77,120,17,12,19,24,58,201
